I0,I1,I2,I3
0.800000,0.795804,-0.000157,129320.484375
0.800000,0.800805,0.004220,129320.820313
0.800000,0.800525,-0.000779,129321.156250
0.800000,0.796855,0.000143,129321.492188
0.800000,0.805778,0.000719,129321.828125
0.800000,0.797919,0.004381,129322.164063
0.800000,0.802374,0.002699,129322.500000
0.800000,0.802135,0.009517,129322.835938
0.800000,0.811310,0.007214,129323.171875
0.800000,0.795791,-0.004095,129323.507813
0.800000,0.791562,-0.013170,129323.843750
0.800000,0.813943,0.009932,129324.179688
0.800000,0.805552,0.011475,129324.515625
0.800000,0.780525,-0.018284,129324.851563
0.800000,0.812640,0.012511,129325.187500
0.800000,0.795552,0.002722,129325.523438
0.800000,0.806815,-0.002921,129325.859375
0.800000,0.796576,-0.004855,129326.195313
0.800000,0.795286,0.001663,129326.531250
0.800000,0.795804,-0.000157,129326.867188
0.800000,0.801097,0.013156,129327.203125
0.800000,0.812095,0.006454,129327.539063
0.800000,0.795272,-0.002276,129327.875000
0.800000,0.816031,0.006592,129328.210938
0.800000,0.804994,0.001479,129328.546875
0.800000,0.801283,-0.009416,129328.882813
0.800000,0.802108,0.001640,129329.218750
0.800000,0.815778,0.009471,129329.554688
0.800000,0.798677,-0.004257,129329.890625
0.800000,0.793424,-0.005754,129330.226563
0.800000,0.802108,0.001640,129330.562500
0.800000,0.782918,-0.008748,129330.898438
0.800000,0.797613,-0.008495,129331.234375
0.800000,0.808704,0.012373,129331.570313
0.800000,0.803185,0.009817,129331.906250
0.800000,0.815233,0.003413,129332.242188
0.800000,0.779248,-0.007827,129332.578125
0.800000,0.802108,0.001640,129332.914063
0.800000,0.796828,-0.007735,129333.250000
0.800000,0.799980,-0.006836,129333.585938
0.800000,0.798434,-0.003562,129333.921875
0.800000,0.812525,0.013098,129334.257813
0.800000,0.800309,-0.000099,129334.593750
0.800000,0.778299,-0.020914,129334.929688
0.800000,0.798247,0.003257,129335.265625
0.800000,0.797655,-0.002796,129335.601563
0.800000,0.817789,0.014555,129335.937500
0.800000,0.808227,0.004056,129336.273438
0.800000,0.812986,0.007336,129336.609375
0.800000,0.793400,-0.007900,129336.945313
0.800000,0.800396,0.007778,129337.281250
0.800000,0.815453,0.016853,129337.617188
0.800000,0.777795,-0.019090,129337.953125
0.800000,0.813852,0.014447,129338.289063
0.800000,0.812438,0.005221,129338.625000
0.800000,0.804246,0.000009,129338.960938
0.800000,0.798477,0.000376,129339.296875
0.800000,0.783146,-0.009756,129339.632813
0.800000,0.803741,0.001833,129339.968750
0.800000,0.787083,-0.009648,129340.304688
0.800000,0.804476,-0.002872,129340.640625
0.800000,0.807996,0.006937,129340.976563
0.800000,0.807174,0.003764,129341.312500
0.800000,0.807766,0.009818,129341.648438
0.800000,0.793861,-0.013662,129341.984375
0.800000,0.801636,0.001250,129342.320313
0.800000,0.804607,0.008944,129342.656250
